location_id,name,locality,timezone,country_code,provider_name,isMobile,isMonitor,latitude,longitude
2118,Rocky Flats - N - 16,Denver-Aurora,America/Denver,US,AirNow,False,True,39.9128,-105.1883
2119,Rockingham,Harrisonburg,America/New_York,US,AirNow,False,True,38.47753,-78.81952
2120,Roanoke Elem. School,,America/Indiana/Indianapolis,US,AirNow,False,True,40.9606,-85.3803
2121,Riverside - Rubidoux,,America/Los_Angeles,US,AirNow,False,True,34.0103,-117.4258
2122,Riverside,Chattanooga,America/New_York,US,AirNow,False,True,35.0508,-85.2931
2123,Ritzville-W Alder Av,ADAMS,America/Los_Angeles,US,AirNow,False,True,47.127998,-118.381897
2124,Oak Park,Detroit-Warren-Livonia,America/Detroit,US,AirNow,False,True,42.4631,-83.183296
2125,Rifle Ozone,GARFIELD,America/Denver,US,AirNow,False,True,39.541801,-107.784103
2126,OKC,,America/Chicago,US,AirNow,False,True,35.4772,-97.4943
2127,Rider Trail I-70,ST. LOUIS,America/Chicago,US,AirNow,False,True,38.75264,-90.44884
2128,ORGILL,Memphis,America/Chicago,US,AirNow,False,True,35.3772,-89.8319
2130,Otisville,Flint,America/Detroit,US,AirNow,False,True,43.1683,-83.4617
2131,OWENPRI,Owensboro,America/Chicago,US,AirNow,False,True,37.7808,-87.0756
2132,Oak Harbor-SW 6th (U,ISLAND,America/Los_Angeles,US,AirNow,False,True,48.294399,-122.660004
2133,Rexburg PM25,MADISON,America/Boise,US,AirNow,False,True,43.809486,-111.800475
2134,Oakland,San Francisco-Oakland-Fremont,America/Los_Angeles,US,AirNow,False,True,37.743061000000004,-122.16990699999998
2135,Oakland West,San Francisco-Oakland-Fremont,America/Los_Angeles,US,AirNow,False,True,37.8148,-122.28240200000002
2136,Reubens-ID,,America/Los_Angeles,US,AirNow,False,True,46.3349,-116.535797
2137,Oakridge - Willamett,Eugene-Springfield,America/Los_Angeles,US,AirNow,False,True,43.74436,-122.480506
2138,Reseda,Los Angeles-Long Beach-Santa Ana,America/Los_Angeles,US,AirNow,False,True,34.1992,-118.5331
2139,Essex,Baltimore-Towson,America/New_York,US,AirNow,False,True,39.310833,-76.474444
2140,Detroit - E7 Mile,Detroit-Warren-Livonia,America/Detroit,US,AirNow,False,True,42.430801,-83.000801
2141,Ocean View,Hilo,Pacific/Honolulu,US,AirNow,False,True,19.117561,-155.778137
2142,Reno3,,America/Los_Angeles,US,AirNow,False,True,39.525082,-119.80771600000001
2143,Detroit-Southwest,Detroit-Warren-Livonia,America/Detroit,US,AirNow,False,True,42.3042,-83.1072
2144,DETROIT - W LAFAYETT,,America/Detroit,US,AirNow,False,True,42.3231,-83.0689
2145,REIBOLD,,America/New_York,US,AirNow,False,True,39.757837,-84.191668
2146,Odessa Gonzales C101,Odessa,America/Chicago,US,AirNow,False,True,31.870253,-102.334756
2147,Odessa Hays C47/C122,,America/Chicago,US,AirNow,False,True,31.8367,-102.3419
2148,DN1,,America/Chicago,US,AirNow,False,True,35.111,-98.254997
2150,Harvard Yards,CUYAHOGA,America/New_York,US,AirNow,False,True,41.446682,-81.662419
2151,Hartford,Hartford-West Hartford-East Hartford,America/New_York,US,AirNow,False,True,41.771444,-72.679923
2152,Redwood City,San Francisco-Oakland-Fremont,America/Los_Angeles,US,AirNow,False,True,37.4828,-122.20219999999999
2153,Redwash,UINTAH,America/Denver,US,AirNow,False,True,40.204433,-109.35321
2154,Redlands - Dearborn,,America/Los_Angeles,US,AirNow,False,True,34.0603,-117.1594
2155,Redhills,San Luis Obispo-Paso Robles,America/Los_Angeles,US,AirNow,False,True,35.64366,-120.23134
2156,Redding,Redding,America/Los_Angeles,US,AirNow,False,True,40.5497,-122.3792
2157,Red Lake Nation Hosp,BELTRAMI,America/Chicago,US,AirNow,False,True,47.878159,-95.029172
